Var1,foldSize,accuracy,sensitivity,specificity
Linear SVM Model,5,0.907161803713528,0.963172804532578,0.0833333333333333
Linear SVM Model,5,0.936339522546419,1,0
KNN Classifier k-5,10,0.920212765957447,0.982954545454545,0
KNN Classifier k-7,10,0.930851063829787,0.994318181818182,0
Decision Tree,10,0.936170212765957,1,0
Linear SVM Model,10,0.888297872340426,0.9375,0.166666666666667
Linear SVM Model,10,0.936170212765957,1,0
KNN Classifier k-5,5,0.864721485411141,0.952238805970149,0.166666666666667
KNN Classifier k-7,5,0.880636604774536,0.970149253731343,0.166666666666667
Decision Tree,5,0.875331564986737,0.973134328358209,0.0952380952380952
Linear SVM Model,5,0.851458885941645,0.916417910447761,0.333333333333333
Linear SVM Model,5,0.888594164456233,1,0
KNN Classifier k-5,10,0.840425531914894,0.934131736526946,0.0952380952380952
KNN Classifier k-7,10,0.867021276595745,0.970059880239521,0.0476190476190476
Decision Tree,10,0.872340425531915,0.976047904191617,0.0476190476190476
Linear SVM Model,10,0.781914893617021,0.844311377245509,0.285714285714286
Linear SVM Model,10,0.888297872340426,1,0
KNN Classifier k-5,5,0.729442970822281,0.776515151515151,0.619469026548673
KNN Classifier k-7,5,0.73209549071618,0.772727272727273,0.63716814159292
Decision Tree,5,0.73474801061008,0.787878787878788,0.610619469026549
Linear SVM Model,5,0.694960212201592,0.768939393939394,0.52212389380531
Linear SVM Model,5,0.782493368700265,0.821969696969697,0.690265486725664
KNN Classifier k-5,10,0.765957446808511,0.825757575757576,0.625
KNN Classifier k-7,10,0.75531914893617,0.833333333333333,0.571428571428571
Decision Tree,10,0.75531914893617,0.833333333333333,0.571428571428571
Linear SVM Model,10,0.723404255319149,0.787878787878788,0.571428571428571
Linear SVM Model,10,0.781914893617021,0.833333333333333,0.660714285714286
KNN Classifier k-5,5,0.816976127320955,0.887043189368771,0.539473684210526
KNN Classifier k-7,5,0.806366047745358,0.877076411960133,0.526315789473684
Decision Tree,5,0.803713527851459,0.870431893687708,0.539473684210526
Linear SVM Model,5,0.811671087533157,0.880398671096346,0.539473684210526
Linear SVM Model,5,0.822281167108753,0.913621262458472,0.460526315789474
KNN Classifier k-5,10,0.813829787234043,0.886666666666667,0.526315789473684
KNN Classifier k-7,10,0.813829787234043,0.893333333333333,0.5
Decision Tree,10,0.829787234042553,0.906666666666667,0.526315789473684
Linear SVM Model,10,0.781914893617021,0.853333333333333,0.5
Linear SVM Model,10,0.840425531914894,0.933333333333333,0.473684210526316
KNN Classifier k-5,5,0.787798408488064,0.910543130990415,0.1875
KNN Classifier k-7,5,0.806366047745358,0.926517571884984,0.21875
Decision Tree,5,0.795755968169761,0.920127795527157,0.1875
Linear SVM Model,5,0.763925729442971,0.865814696485623,0.265625
Linear SVM Model,5,0.830238726790451,1,0
KNN Classifier k-5,10,0.819148936170213,0.935897435897436,0.25
KNN Classifier k-7,10,0.797872340425532,0.923076923076923,0.1875
Decision Tree,10,0.829787234042553,0.955128205128205,0.21875
Linear SVM Model,10,0.787234042553192,0.897435897435897,0.25
Linear SVM Model,10,0.829787234042553,1,0
KNN Classifier k-5,5,0.79840848806366,0.841379310344828,0.655172413793103
KNN Classifier k-7,5,0.819628647214854,0.868965517241379,0.655172413793103
Decision Tree,5,0.816976127320955,0.868965517241379,0.64367816091954
Linear SVM Model,5,0.774535809018568,0.844827586206897,0.540229885057471
